val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.720740,0.471014,0.000020,0.740092,23.000000,
0.507246,0.775185,0.507246,0.000018,0.693277,46.000000,
0.615942,0.624653,0.615942,0.000016,0.689161,69.000000,
0.666667,0.633946,0.666667,0.000013,0.653913,92.000000,
0.666667,0.614728,0.666667,0.000011,0.616474,115.000000,
0.637681,0.580426,0.666667,0.000009,0.555878,138.000000,
0.724638,0.569532,0.724638,0.000007,0.572925,161.000000,
0.739130,0.587599,0.739130,0.000005,0.448986,184.000000,
0.673913,0.553083,0.739130,0.000003,0.472393,207.000000,
0.724638,0.563610,0.739130,0.000000,0.450067,230.000000,
0.724638,0.564557,0.739130,0.000000,0.467957,234.000000,
