val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.702057,0.471014,0.000020,0.729998,40.000000,
0.615942,0.592233,0.615942,0.000018,0.672906,80.000000,
0.644928,0.558479,0.644928,0.000016,0.598905,120.000000,
0.652174,0.558460,0.652174,0.000013,0.561924,160.000000,
0.681159,0.584071,0.681159,0.000011,0.418787,200.000000,
0.681159,0.590427,0.681159,0.000009,0.355629,240.000000,
0.681159,0.658907,0.681159,0.000007,0.228470,280.000000,
0.731884,0.614595,0.731884,0.000004,0.209747,320.000000,
0.710145,0.682609,0.731884,0.000002,0.134458,360.000000,
0.702899,0.665137,0.731884,0.000000,0.127080,400.000000,
