val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.728790,0.471014,0.000020,0.727235,23.000000,
0.594203,0.679142,0.594203,0.000018,0.668098,46.000000,
0.681159,0.610513,0.681159,0.000016,0.630548,69.000000,
0.673913,0.611190,0.681159,0.000013,0.549329,92.000000,
0.724638,0.526248,0.724638,0.000011,0.471594,115.000000,
0.710145,0.509468,0.724638,0.000009,0.436553,138.000000,
0.731884,0.522251,0.731884,0.000007,0.417465,161.000000,
0.724638,0.670584,0.731884,0.000005,0.189778,184.000000,
0.731884,0.553748,0.731884,0.000003,0.200006,207.000000,
0.710145,0.764940,0.731884,0.000000,0.194618,230.000000,
0.717391,0.771752,0.731884,0.000000,0.114690,234.000000,
