val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.721781,0.471014,0.000020,0.740043,23.000000,
0.565217,0.745798,0.565217,0.000018,0.692812,46.000000,
0.644928,0.646698,0.644928,0.000016,0.673166,69.000000,
0.673913,0.604502,0.673913,0.000013,0.635772,92.000000,
0.695652,0.543010,0.695652,0.000011,0.571162,115.000000,
0.652174,0.542850,0.695652,0.000009,0.539308,138.000000,
0.702899,0.500276,0.702899,0.000007,0.529732,161.000000,
0.724638,0.514871,0.724638,0.000005,0.372103,184.000000,
0.717391,0.504419,0.724638,0.000003,0.386998,207.000000,
0.702899,0.506628,0.724638,0.000000,0.367295,230.000000,
0.702899,0.507041,0.724638,0.000000,0.348374,234.000000,
