val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.367188,0.632622,0.367188,0.000020,0.566076,80.000000,
0.374643,0.642652,0.374643,0.000018,0.495104,160.000000,
0.520134,0.441142,0.520134,0.000016,0.458281,240.000000,
0.519611,0.559349,0.520134,0.000013,0.330452,320.000000,
0.503388,0.524065,0.520134,0.000011,0.281276,400.000000,
0.544280,0.494287,0.544280,0.000009,0.277940,480.000000,
0.570038,0.612851,0.570038,0.000007,0.216089,560.000000,
0.590821,0.634160,0.590821,0.000005,0.133511,640.000000,
0.585377,0.572626,0.590821,0.000002,0.151088,720.000000,
0.580414,0.573146,0.590821,0.000000,0.122197,800.000000,
0.580414,0.573655,0.590821,0.000000,0.065386,804.000000,
