val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.684729,0.812865,0.748797,0.776518,0.684729,0.000020,0.610289,34.000000,
0.729064,0.831804,0.780434,0.727487,0.729064,0.000018,0.590767,68.000000,
0.832512,0.883562,0.858037,0.493255,0.832512,0.000016,0.511922,102.000000,
0.847291,0.888889,0.868090,0.511769,0.847291,0.000013,0.367528,136.000000,
0.871921,0.909722,0.890822,0.453311,0.871921,0.000011,0.313372,170.000000,
0.827586,0.876325,0.851956,0.487500,0.871921,0.000009,0.304621,204.000000,
0.871921,0.912162,0.892042,0.573058,0.871921,0.000007,0.266130,238.000000,
0.857143,0.897527,0.877335,0.688653,0.871921,0.000005,0.124154,272.000000,
0.862069,0.901408,0.881739,0.647971,0.871921,0.000003,0.154553,306.000000,
0.866995,0.906574,0.886785,0.679113,0.871921,0.000000,0.131740,340.000000,
0.866995,0.906574,0.886785,0.678087,0.871921,0.000000,0.059162,345.000000,
