val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.579710,0.650169,0.579710,0.000020,0.709459,23.000000,
0.471014,0.948825,0.579710,0.000018,0.810743,46.000000,
0.528986,0.645328,0.579710,0.000016,0.710816,69.000000,
0.528986,0.671700,0.579710,0.000013,0.717014,92.000000,
0.528986,0.673311,0.579710,0.000011,0.695927,115.000000,
0.471014,0.737101,0.579710,0.000009,0.698345,138.000000,
0.528986,0.668051,0.579710,0.000007,0.714042,161.000000,
0.471014,0.714099,0.579710,0.000005,0.700863,184.000000,
0.471014,0.694376,0.579710,0.000003,0.703209,207.000000,
0.528986,0.682321,0.579710,0.000000,0.690636,230.000000,
0.528986,0.682181,0.579710,0.000000,0.685613,234.000000,
