val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.760170,0.805486,0.782828,1.098005,0.805486,0.000020,5.100866,54.000000,
0.835548,0.853959,0.844753,0.728258,0.853959,0.000018,0.927056,108.000000,
0.874849,0.873488,0.874169,0.581229,0.873488,0.000016,0.800997,162.000000,
0.892304,0.891571,0.891937,0.589519,0.891571,0.000013,0.515283,216.000000,
0.877698,0.892542,0.885120,0.658601,0.892542,0.000011,0.463566,270.000000,
0.897572,0.895164,0.896368,0.458692,0.895164,0.000009,0.518711,324.000000,
0.899751,0.898268,0.899009,0.458506,0.898268,0.000007,0.408444,378.000000,
0.899332,0.899225,0.899279,0.452919,0.899225,0.000004,0.297909,432.000000,
0.900902,0.900015,0.900458,0.432268,0.900015,0.000002,0.292026,486.000000,
0.903124,0.901062,0.902093,0.416961,0.901062,0.000000,0.276831,540.000000,
