val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.400183,0.650150,0.400183,0.000020,0.560967,80.000000,
0.501794,0.505720,0.501794,0.000018,0.436886,160.000000,
0.505372,0.570414,0.505372,0.000016,0.401940,240.000000,
0.555158,0.585765,0.555158,0.000013,0.301039,320.000000,
0.565829,0.552696,0.565829,0.000011,0.233769,400.000000,
0.586352,0.492161,0.586352,0.000009,0.226373,480.000000,
0.585408,0.947114,0.586352,0.000007,0.189307,560.000000,
0.595455,0.726577,0.595455,0.000005,0.130928,640.000000,
0.570038,0.787632,0.595455,0.000002,0.137049,720.000000,
0.570167,0.797862,0.595455,0.000000,0.095340,800.000000,
0.570167,0.798234,0.595455,0.000000,0.091640,804.000000,
