val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.714286,0.826347,0.770317,0.906105,0.714286,0.000020,0.614300,34.000000,
0.778325,0.856230,0.817278,0.620944,0.778325,0.000018,0.526204,68.000000,
0.793103,0.863636,0.828370,0.547590,0.793103,0.000016,0.518551,102.000000,
0.822660,0.880000,0.851330,0.681203,0.822660,0.000013,0.355800,136.000000,
0.852217,0.892857,0.872537,0.489562,0.852217,0.000011,0.284997,170.000000,
0.822660,0.877551,0.850106,0.520709,0.852217,0.000009,0.293382,204.000000,
0.832512,0.882759,0.857635,0.679934,0.852217,0.000007,0.209323,238.000000,
0.817734,0.865455,0.841594,0.648971,0.852217,0.000005,0.133372,272.000000,
0.847291,0.897010,0.872150,0.961763,0.852217,0.000003,0.089492,306.000000,
0.842365,0.890411,0.866388,0.918504,0.852217,0.000000,0.088048,340.000000,
0.842365,0.890411,0.866388,0.921879,0.852217,0.000000,0.030205,345.000000,
