val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.601449,0.601349,0.601449,0.000020,0.710305,23.000000,
0.565217,0.653139,0.601449,0.000018,0.680013,46.000000,
0.630435,0.554198,0.630435,0.000016,0.616733,69.000000,
0.659420,0.529858,0.659420,0.000013,0.537847,92.000000,
0.702899,0.556744,0.702899,0.000011,0.450953,115.000000,
0.673913,0.515783,0.702899,0.000009,0.425783,138.000000,
0.659420,0.509729,0.702899,0.000007,0.391602,161.000000,
0.724638,0.601869,0.724638,0.000005,0.215504,184.000000,
0.739130,0.591737,0.739130,0.000003,0.213946,207.000000,
0.760870,0.598200,0.760870,0.000000,0.237282,230.000000,
0.760870,0.597670,0.760870,0.000000,0.285005,234.000000,
