val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.868255,0.862875,0.865565,0.657158,0.862875,0.000020,2.525425,54.000000,
0.887599,0.887297,0.887448,0.540414,0.887297,0.000018,0.650792,108.000000,
0.895424,0.895411,0.895417,0.514089,0.895411,0.000016,0.647437,162.000000,
0.894503,0.895639,0.895071,0.531874,0.895639,0.000013,0.442719,216.000000,
0.900019,0.898919,0.899469,0.435137,0.898919,0.000011,0.388827,270.000000,
0.899520,0.897509,0.898515,0.528556,0.898919,0.000009,0.338988,324.000000,
0.905991,0.903958,0.904974,0.477392,0.903958,0.000007,0.335879,378.000000,
0.905590,0.904033,0.904812,0.432085,0.904033,0.000004,0.214773,432.000000,
0.904535,0.902438,0.903486,0.426353,0.904033,0.000002,0.204648,486.000000,
0.904981,0.902712,0.903847,0.459289,0.904033,0.000000,0.206303,540.000000,
