val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.396051,0.546893,0.396051,0.000020,0.604264,80.000000,
0.483199,0.506229,0.483199,0.000018,0.479926,160.000000,
0.512831,0.518749,0.512831,0.000016,0.420072,240.000000,
0.577504,0.498132,0.577504,0.000013,0.390809,320.000000,
0.570167,0.503704,0.577504,0.000011,0.282611,400.000000,
0.565487,0.516841,0.577504,0.000009,0.276581,480.000000,
0.585517,0.667671,0.585517,0.000007,0.243716,560.000000,
0.595455,0.571603,0.595455,0.000005,0.181442,640.000000,
0.600508,0.582657,0.600508,0.000002,0.160169,720.000000,
0.610971,0.592735,0.610971,0.000000,0.142582,800.000000,
0.610971,0.592986,0.610971,0.000000,0.218542,804.000000,
