val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.689655,0.814159,0.751907,0.699429,0.689655,0.000020,0.848559,34.000000,
0.748768,0.840125,0.794447,0.678371,0.748768,0.000018,0.566818,68.000000,
0.788177,0.859016,0.823597,0.564627,0.788177,0.000016,0.498563,102.000000,
0.807882,0.866894,0.837388,0.699489,0.807882,0.000013,0.410406,136.000000,
0.812808,0.875817,0.844312,0.621205,0.812808,0.000011,0.349255,170.000000,
0.812808,0.864286,0.838547,0.600437,0.812808,0.000009,0.331857,204.000000,
0.822660,0.879195,0.850927,0.673851,0.822660,0.000007,0.302024,238.000000,
0.832512,0.880282,0.856397,0.778206,0.832512,0.000005,0.175507,272.000000,
0.827586,0.877193,0.852390,0.761531,0.832512,0.000003,0.171641,306.000000,
0.832512,0.880282,0.856397,0.691577,0.832512,0.000000,0.216946,340.000000,
0.832512,0.880282,0.856397,0.694420,0.832512,0.000000,0.191574,345.000000,
