val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.514493,0.675408,0.514493,0.000020,0.710529,23.000000,
0.637681,0.601233,0.637681,0.000018,0.689133,46.000000,
0.630435,0.550305,0.637681,0.000016,0.659683,69.000000,
0.702899,0.536755,0.702899,0.000013,0.596405,92.000000,
0.688406,0.531992,0.702899,0.000011,0.575884,115.000000,
0.673913,0.496850,0.702899,0.000009,0.536794,138.000000,
0.760870,0.479519,0.760870,0.000007,0.504295,161.000000,
0.731884,0.480531,0.760870,0.000005,0.389460,184.000000,
0.731884,0.473619,0.760870,0.000003,0.376471,207.000000,
0.710145,0.489402,0.760870,0.000000,0.380039,230.000000,
0.710145,0.488808,0.760870,0.000000,0.423356,234.000000,
