val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.572387,0.604172,0.588280,1.637097,0.604172,0.000020,4.826474,54.000000,
0.821960,0.818887,0.820423,0.742014,0.818887,0.000018,0.931619,108.000000,
0.854911,0.862372,0.858641,0.658120,0.862372,0.000016,0.685978,162.000000,
0.877167,0.875164,0.876165,0.587866,0.875164,0.000013,0.585253,216.000000,
0.879957,0.879511,0.879734,0.522222,0.879511,0.000011,0.458035,270.000000,
0.878331,0.878479,0.878405,0.519229,0.879511,0.000009,0.455627,324.000000,
0.884946,0.884367,0.884656,0.522237,0.884367,0.000007,0.392851,378.000000,
0.883095,0.885899,0.884497,0.501641,0.885899,0.000004,0.291597,432.000000,
0.888944,0.888795,0.888869,0.486472,0.888795,0.000002,0.284389,486.000000,
0.890348,0.888687,0.889517,0.478237,0.888795,0.000000,0.291660,540.000000,
