val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.412047,0.553227,0.412047,0.000020,0.541967,80.000000,
0.448638,0.524682,0.448638,0.000018,0.466301,160.000000,
0.523145,0.450910,0.523145,0.000016,0.458845,240.000000,
0.567778,0.627602,0.567778,0.000013,0.328135,320.000000,
0.491623,0.533433,0.567778,0.000011,0.278758,400.000000,
0.568412,0.461440,0.568412,0.000009,0.242249,480.000000,
0.554683,0.690617,0.568412,0.000007,0.208360,560.000000,
0.569983,0.649364,0.569983,0.000005,0.128108,640.000000,
0.596189,0.634713,0.596189,0.000002,0.131264,720.000000,
0.586007,0.620107,0.596189,0.000000,0.144389,800.000000,
0.586007,0.619991,0.596189,0.000000,0.110800,804.000000,
