val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.714286,0.824242,0.769264,0.895538,0.714286,0.000020,0.634166,34.000000,
0.773399,0.833333,0.803366,0.555562,0.773399,0.000018,0.558580,68.000000,
0.684729,0.812865,0.748797,0.903608,0.773399,0.000016,0.506443,102.000000,
0.783251,0.847222,0.815237,0.730598,0.783251,0.000013,0.493722,136.000000,
0.793103,0.845588,0.819346,0.705306,0.793103,0.000011,0.406931,170.000000,
0.802956,0.850746,0.826851,0.484533,0.802956,0.000009,0.460700,204.000000,
0.852217,0.896552,0.874384,0.622633,0.852217,0.000007,0.352622,238.000000,
0.852217,0.895833,0.874025,0.548437,0.852217,0.000005,0.236858,272.000000,
0.852217,0.897959,0.875088,0.554819,0.852217,0.000003,0.268374,306.000000,
0.862069,0.900000,0.881034,0.472808,0.862069,0.000000,0.301684,340.000000,
0.862069,0.900000,0.881034,0.474935,0.862069,0.000000,0.258099,345.000000,
