val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.744868,0.471014,0.000020,0.785615,23.000000,
0.528986,0.642437,0.528986,0.000018,0.694532,46.000000,
0.528986,0.649353,0.528986,0.000016,0.722829,69.000000,
0.471014,0.701224,0.528986,0.000013,0.720029,92.000000,
0.471014,0.707521,0.528986,0.000011,0.712156,115.000000,
0.528986,0.681296,0.528986,0.000009,0.705388,138.000000,
0.471014,0.727200,0.528986,0.000007,0.706554,161.000000,
0.528986,0.678351,0.528986,0.000005,0.704206,184.000000,
0.528986,0.688828,0.528986,0.000003,0.702220,207.000000,
0.528986,0.678209,0.528986,0.000000,0.702065,230.000000,
0.528986,0.678514,0.528986,0.000000,0.729979,234.000000,
