val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.840436,0.840501,0.840469,0.680082,0.840501,0.000020,2.655009,54.000000,
0.865085,0.872832,0.868958,0.681929,0.872832,0.000018,0.888081,108.000000,
0.883731,0.892156,0.887943,0.559580,0.892156,0.000016,0.761451,162.000000,
0.899637,0.900520,0.900079,0.451486,0.900520,0.000013,0.507227,216.000000,
0.901093,0.901084,0.901088,0.424439,0.901084,0.000011,0.427548,270.000000,
0.905218,0.903993,0.904606,0.417999,0.903993,0.000009,0.470604,324.000000,
0.903392,0.906836,0.905114,0.427551,0.906836,0.000007,0.341325,378.000000,
0.907985,0.905838,0.906911,0.402177,0.906836,0.000004,0.243889,432.000000,
0.908619,0.906295,0.907457,0.400141,0.906836,0.000002,0.260537,486.000000,
0.908800,0.906738,0.907769,0.394075,0.906836,0.000000,0.240585,540.000000,
