val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.418259,0.564266,0.418259,0.000020,0.554549,80.000000,
0.463959,0.514575,0.463959,0.000018,0.451140,160.000000,
0.581586,0.426578,0.581586,0.000016,0.401226,240.000000,
0.577504,0.481823,0.581586,0.000013,0.286324,320.000000,
0.572358,0.540980,0.581586,0.000011,0.223609,400.000000,
0.608743,0.473201,0.608743,0.000009,0.220371,480.000000,
0.565172,0.778799,0.608743,0.000007,0.174985,560.000000,
0.559737,0.937133,0.608743,0.000005,0.108402,640.000000,
0.555141,0.832749,0.608743,0.000002,0.099767,720.000000,
0.555141,0.770257,0.608743,0.000000,0.118916,800.000000,
0.555141,0.770323,0.608743,0.000000,0.068090,804.000000,
