val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.714286,0.825301,0.769793,0.779427,0.714286,0.000020,0.616906,34.000000,
0.763547,0.850932,0.807239,0.637148,0.763547,0.000018,0.528894,68.000000,
0.763547,0.850932,0.807239,0.788366,0.763547,0.000016,0.475873,102.000000,
0.793103,0.864516,0.828810,0.762757,0.793103,0.000013,0.411816,136.000000,
0.832512,0.884354,0.858433,0.571884,0.832512,0.000011,0.336347,170.000000,
0.793103,0.844444,0.818774,0.553310,0.832512,0.000009,0.294294,204.000000,
0.857143,0.903010,0.880076,0.648634,0.857143,0.000007,0.234364,238.000000,
0.847291,0.893471,0.870381,0.842775,0.857143,0.000005,0.104853,272.000000,
0.837438,0.884211,0.860824,0.823772,0.857143,0.000003,0.135264,306.000000,
0.862069,0.905405,0.883737,0.932811,0.862069,0.000000,0.107035,340.000000,
0.862069,0.905405,0.883737,0.928354,0.862069,0.000000,0.150789,345.000000,
