val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.630435,0.589145,0.630435,0.000020,0.709085,23.000000,
0.673913,0.534526,0.673913,0.000018,0.663142,46.000000,
0.681159,0.549595,0.681159,0.000016,0.627765,69.000000,
0.717391,0.535825,0.717391,0.000013,0.509582,92.000000,
0.688406,0.511840,0.717391,0.000011,0.454967,115.000000,
0.688406,0.555594,0.717391,0.000009,0.392914,138.000000,
0.731884,0.490878,0.731884,0.000007,0.405716,161.000000,
0.753623,0.599889,0.753623,0.000005,0.233371,184.000000,
0.739130,0.617759,0.753623,0.000003,0.189917,207.000000,
0.746377,0.623683,0.753623,0.000000,0.203860,230.000000,
0.739130,0.621691,0.753623,0.000000,0.143104,234.000000,
