val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.871457,0.867169,0.869313,0.619447,0.867169,0.000020,2.818459,54.000000,
0.888477,0.887922,0.888199,0.536920,0.887922,0.000018,0.714668,108.000000,
0.899035,0.897260,0.898147,0.449617,0.897260,0.000016,0.591890,162.000000,
0.901283,0.900782,0.901032,0.458256,0.900782,0.000013,0.414631,216.000000,
0.906458,0.905353,0.905906,0.432360,0.905353,0.000011,0.390112,270.000000,
0.907245,0.905336,0.906290,0.419978,0.905353,0.000009,0.320056,324.000000,
0.905840,0.904724,0.905282,0.409248,0.905353,0.000007,0.300012,378.000000,
0.907826,0.905864,0.906845,0.417629,0.905864,0.000004,0.200028,432.000000,
0.908636,0.906996,0.907816,0.421370,0.906996,0.000002,0.207899,486.000000,
0.908627,0.907021,0.907824,0.422011,0.907021,0.000000,0.192447,540.000000,
