val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.441453,0.624850,0.441453,0.000020,0.572742,80.000000,
0.485506,0.506959,0.485506,0.000018,0.459690,160.000000,
0.490947,0.552545,0.490947,0.000016,0.408401,240.000000,
0.497049,0.573435,0.497049,0.000013,0.321061,320.000000,
0.501803,0.601767,0.501803,0.000011,0.248617,400.000000,
0.490947,0.581647,0.501803,0.000009,0.268018,480.000000,
0.554665,0.726832,0.554665,0.000007,0.218969,560.000000,
0.561508,0.684224,0.561508,0.000005,0.150733,640.000000,
0.565021,0.666783,0.565021,0.000002,0.123673,720.000000,
0.570974,0.642006,0.570974,0.000000,0.136859,800.000000,
0.570974,0.641931,0.570974,0.000000,0.110728,804.000000,
