val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.724138,0.823899,0.774019,0.631615,0.724138,0.000020,0.650640,34.000000,
0.773399,0.836879,0.805139,0.538694,0.773399,0.000018,0.571590,68.000000,
0.793103,0.857143,0.825123,0.511806,0.793103,0.000016,0.516566,102.000000,
0.802956,0.855072,0.829014,0.481916,0.802956,0.000013,0.473489,136.000000,
0.822660,0.871429,0.847044,0.471433,0.822660,0.000011,0.366789,170.000000,
0.842365,0.891156,0.866760,0.487122,0.842365,0.000009,0.369057,204.000000,
0.837438,0.886598,0.862018,0.447492,0.842365,0.000007,0.311041,238.000000,
0.842365,0.887324,0.864844,0.560940,0.842365,0.000005,0.254031,272.000000,
0.837438,0.886598,0.862018,0.551498,0.842365,0.000003,0.239337,306.000000,
0.842365,0.890411,0.866388,0.573097,0.842365,0.000000,0.201031,340.000000,
0.842365,0.890411,0.866388,0.574238,0.842365,0.000000,0.256470,345.000000,
