val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.671167,0.528986,0.000020,0.708332,23.000000,
0.471014,0.699868,0.528986,0.000018,0.704084,46.000000,
0.478261,0.740656,0.528986,0.000016,0.692706,69.000000,
0.630435,0.671574,0.630435,0.000013,0.687997,92.000000,
0.630435,0.637800,0.630435,0.000011,0.649033,115.000000,
0.681159,0.642270,0.681159,0.000009,0.632893,138.000000,
0.702899,0.608840,0.702899,0.000007,0.587243,161.000000,
0.724638,0.610052,0.724638,0.000005,0.491002,184.000000,
0.739130,0.621276,0.739130,0.000003,0.494942,207.000000,
0.659420,0.619063,0.739130,0.000000,0.480235,230.000000,
0.666667,0.619923,0.739130,0.000000,0.505414,234.000000,
