val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.825518,0.832959,0.829239,0.940927,0.832959,0.000020,5.864800,54.000000,
0.882054,0.879722,0.880888,0.513564,0.879722,0.000018,0.708738,108.000000,
0.884872,0.880858,0.882865,0.494131,0.880858,0.000016,0.643818,162.000000,
0.883932,0.885485,0.884709,0.559724,0.885485,0.000013,0.456513,216.000000,
0.886027,0.890078,0.888052,0.524479,0.890078,0.000011,0.380846,270.000000,
0.895301,0.894918,0.895110,0.497922,0.894918,0.000009,0.433347,324.000000,
0.894787,0.896775,0.895781,0.477837,0.896775,0.000007,0.346225,378.000000,
0.897601,0.896828,0.897215,0.451292,0.896828,0.000004,0.254025,432.000000,
0.898304,0.897071,0.897687,0.443197,0.897071,0.000002,0.239247,486.000000,
0.897876,0.897132,0.897504,0.449869,0.897132,0.000000,0.244918,540.000000,
