,val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,Unnamed: 6,i,filetype,seed,dataset,method,test_mcc,test_loss,test_step,val_acc,best_val_acc,test_acc,val_f1,val_acc_and_f1,Unnamed: 8,test_f1,test_acc_and_f1,val_pearson,val_spearmanr,val_corr,best_val_spearmanr,test_pearson,test_spearmanr,test_corr
0,0.222797,0.636362,0.222797,2e-05,0.667321,80.0,,0,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
1,0.373022,0.650158,0.373022,1.8e-05,0.454187,160.0,,1,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
2,0.54241,0.445513,0.54241,1.6e-05,0.433946,240.0,,2,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
3,0.544162,0.487603,0.544162,1.3e-05,0.328611,320.0,,3,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
4,0.534335,0.506099,0.544162,1.1e-05,0.272914,400.0,,4,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
5,0.565219,0.452817,0.565219,9e-06,0.272329,480.0,,5,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
6,0.554549,0.617466,0.565219,7e-06,0.216819,560.0,,6,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
7,0.555141,0.541839,0.565219,5e-06,0.163643,640.0,,7,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
8,0.54412,0.672418,0.565219,2e-06,0.125874,720.0,,8,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
9,0.560056,0.634933,0.565219,0.0,0.135199,800.0,,9,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
10,0.560056,0.635064,0.565219,0.0,0.15978,804.0,,10,raw_log,8,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
11,,,,,,,,0,test_last_log,8,CoLA,standard_debiased,0.6358,0.6281,804.0,,,,,,,,,,,,,,,
12,,,,,,,,0,test_best_log,8,CoLA,standard_debiased,0.6358,0.6252,804.0,,,,,,,,,,,,,,,
13,0.396051,0.546893,0.396051,2e-05,0.604264,80.0,,0,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
14,0.483199,0.506229,0.483199,1.8e-05,0.479926,160.0,,1,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
15,0.512831,0.518749,0.512831,1.6e-05,0.420072,240.0,,2,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
16,0.577504,0.498132,0.577504,1.3e-05,0.390809,320.0,,3,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
17,0.570167,0.503704,0.577504,1.1e-05,0.282611,400.0,,4,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
18,0.565487,0.516841,0.577504,9e-06,0.276581,480.0,,5,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
19,0.585517,0.667671,0.585517,7e-06,0.243716,560.0,,6,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
20,0.595455,0.571603,0.595455,5e-06,0.181442,640.0,,7,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
21,0.600508,0.582657,0.600508,2e-06,0.160169,720.0,,8,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
22,0.610971,0.592735,0.610971,0.0,0.142582,800.0,,9,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
23,0.610971,0.592986,0.610971,0.0,0.218542,804.0,,10,raw_log,16,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
24,,,,,,,,0,test_last_log,16,CoLA,standard_debiased,0.6358,0.5463,804.0,,,,,,,,,,,,,,,
25,,,,,,,,0,test_best_log,16,CoLA,standard_debiased,0.6358,0.5463,804.0,,,,,,,,,,,,,,,
26,0.421292,0.581193,0.421292,2e-05,0.606003,80.0,,0,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
27,0.512636,0.485522,0.512636,1.8e-05,0.468817,160.0,,1,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
28,0.50717,0.46289,0.512636,1.6e-05,0.412707,240.0,,2,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
29,0.539504,0.492183,0.539504,1.3e-05,0.339919,320.0,,3,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
30,0.579418,0.485112,0.579418,1.1e-05,0.246628,400.0,,4,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
31,0.529722,0.532496,0.579418,9e-06,0.225146,480.0,,5,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
32,0.578087,0.678733,0.579418,7e-06,0.228401,560.0,,6,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
33,0.560653,0.596569,0.579418,5e-06,0.167343,640.0,,7,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
34,0.545062,0.736056,0.579418,2e-06,0.134393,720.0,,8,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
35,0.559737,0.762197,0.579418,0.0,0.112654,800.0,,9,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
36,0.559737,0.761276,0.579418,0.0,0.103908,804.0,,10,raw_log,28,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
37,,,,,,,,0,test_last_log,28,CoLA,standard_debiased,0.6556,0.7752,804.0,,,,,,,,,,,,,,,
38,,,,,,,,0,test_best_log,28,CoLA,standard_debiased,0.6556,0.7734,804.0,,,,,,,,,,,,,,,
39,0.446952,0.539387,0.446952,2e-05,0.598314,80.0,,0,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
40,0.528543,0.486871,0.528543,1.8e-05,0.461849,160.0,,1,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
41,0.529363,0.480427,0.529363,1.6e-05,0.421236,240.0,,2,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
42,0.535959,0.503189,0.535959,1.3e-05,0.318021,320.0,,3,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
43,0.518909,0.676022,0.535959,1.1e-05,0.248968,400.0,,4,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
44,0.555471,0.503038,0.555471,9e-06,0.255694,480.0,,5,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
45,0.506097,0.691673,0.555471,7e-06,0.207357,560.0,,6,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
46,0.529715,0.610138,0.555471,5e-06,0.126864,640.0,,7,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
47,0.543097,0.617696,0.555471,2e-06,0.137888,720.0,,8,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
48,0.541202,0.687542,0.555471,0.0,0.13526,800.0,,9,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
49,0.541202,0.687316,0.555471,0.0,0.099067,804.0,,10,raw_log,34,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
